Title,Author,Publisher,Year,Type,Status,Gemini_Summary,ISBN13,DateAdded
波よ聞いてくれ（2）,,,,,REVISED,ミナレの番組『波よ聞いてくれ』が本格始動。架空の実況中継や猟奇的な企画をこなしつつ、カレー屋の同僚・中原や元カレを巻き込んだ騒動が勃発する。,,
波よ聞いてくれ（3）,,,,,REVISED,カレー屋の店長が交通事故で離脱し、ミナレがまさかの店長代理に。ラジオではオカルト企画に挑戦し、謎の宗教団体と接触するなど波乱万丈な展開に。,,
波よ聞いてくれ（4）,,,,,REVISED,深夜ラジオのパーソナリティとして奮闘する鼓田ミナレの前に、かつて彼女を騙して50万円を奪った元カレの光雄がついに姿を現す。積年の恨みを晴らすべく、ミナレは因縁の相手を自身のラジオ生放送に引っ張り出す。怒涛の復讐劇が電波に乗って全道に響き渡る、予測不能な展開が待ち受ける。,,
波よ聞いてくれ（5）,,,,,REVISED,謎のカルト教団「波の智慧派」の施設に拉致監禁されてしまった鼓田ミナレと構成作家の久連木。外界との連絡が絶たれる絶体絶命の危機の中、ミナレたちは教団信者たちを前にした前代未聞のラジオ公開録音を決行する。機転と話術を武器に、カルト施設からの決死の脱出劇が幕を開ける。,,
波よ聞いてくれ（6）,,,,,REVISED,鼓田ミナレの前に強烈な個性を持つ母親が突如として札幌へ襲来し、強引にお見合いを勧めてくる。ラジオの仕事を続けたいミナレは、周囲のスタッフやカレー屋の同僚を巻き込み、その場しのぎの偽装交際作戦を企てる。さらに番組では新たな企画が立ち上がり、私生活も仕事もさらなる大波乱へと突入していく。,,
波よ聞いてくれ（7）,,,,,REVISED,ラジオ局のAD・瑞穂が大切に飼っていた亀が突如として失踪し、ミナレたちは必死の捜索劇に巻き込まれていく。一方で、ネット視聴者を集める人気カップルYouTuberからラジオ番組への挑戦状を叩きつけられる。新旧メディアのプライドが激突する中、ミナレの破天荒な話術がネットの波を飲み込んでいく。,,
波よ聞いてくれ（8）,,,,,REVISED,世間がバレンタインデーに沸き立つ中、ミナレの深夜番組でもリスナーからの恋愛相談企画が立ち上がる。しかし、一筋縄ではいかないリスナーたちの複雑な恋愛事情に首を突っ込むうちに、なぜか血みどろの愛憎劇へと巻き込まれていく。聖なる夜を笑いと混沌で塗り替える、ミナレ流の過激な恋愛指導が炸裂する。,,
波よ聞いてくれ（9）,,,,,REVISED,局の看板パーソナリティである茅代まどかの冠番組に、まさかの降板危機が浮上する。普段は反発し合いながらも彼女の実力を認めるミナレは、この最大のピンチを救うべく予想外の行動に打って出る。ラジオ業界のシビアな現実とパーソナリティたちの熱いプライドが交錯する、波乱に満ちた展開が待ち受ける。,,
波よ聞いてくれ（11）,,,,,REVISED,北海道全域を未曾有の大地震が襲い、ブラックアウトによる大混乱に陥る中、ミナレはラジオ局に駆けつける。被災して不安に怯えるリスナーたちに向け、彼女はマイクの前に立ち特別報道番組のパーソナリティを務める。いつもの破天荒さを封印し、言葉の力で人々に寄り添おうとするミナレの新たな一面が描かれる。,,
波よ聞いてくれ（12）,,,,,REVISED,大規模停電の危機を乗り越えたものの、スープカレー屋「ボイジャー」から城華マキエが突然去ってしまい、残されたミナレたちは対応に追われる。そんな中、ミナレは「ラジオくしろ」の人気パーソナリティ・シセル光明の番組へゲスト出演するため釧路へ向かう。新たな出会いが、彼女のラジオ人生に転機をもたらす。,,
STEINS；GATE（1）,,,,,REVISED,秋葉原でヘンテコな発明サークルを主宰する大学生の岡部倫太郎は、天才少女・牧瀬紅莉栖が血に染まって倒れている現場を目撃する。しかし直後、偶然にも過去へメールを送れるタイムマシンを生み出してしまったことで、彼の周囲で不可解な現象が次々と起こり始める。世界線の分岐を巡る、予測不能なSFサスペンス。,,
リスアニ！（vol.49.2）,,,,,REVISED,人気ゲームブランド「Key」の音楽世界をまるごと特集した特別号。『プリマドール』の巻頭特集や、麻枝准が手掛ける『ヘブンバーンズレッド』のクリエイターインタビューを収録。感動的な物語を彩ってきた名曲の数々がどのように生まれたのか、その制作秘話と音楽的魅力の核心に迫る必読の音楽大全。,,
リスアニ！（vol.25）,,,,,REVISED,アニメ音楽の最前線に迫る音楽誌。本号の巻頭特集はTRIGGERと岡田麿里がタッグを組んだ話題作『キズナイーバー』。劇伴や主題歌の視点から作品のテーマを多角的に掘り下げる。さらに『甲鉄城のカバネリ』や『マクロスΔ』など、注目アニメの音楽情報やアーティストインタビューを豊富に収録した充実の一冊。,,
リスアニ！（vol.22）,,,,,REVISED,アニメ音楽の魅力を徹底解剖する本号では、『ラブライブ！The School Idol Movie』を表紙・巻頭で大特集。μsメンバーへのロングインタビューや劇中歌の全曲レビューを通して、作品がもたらした熱狂と音楽的軌跡を振り返る。アニメと音楽の融合が作り出す奇跡の瞬間を切り取った完全保存版。,,
ライトノベルのストラテジー,,,,,REVISED,『涼宮ハルヒの憂鬱』をはじめとするゼロ年代の代表的なライトノベル作品を取り上げ、それらがどのような「戦略」を用いて独自の物語世界を構築していったのかを徹底分析。単なる娯楽小説の枠を超え、サブカルチャーの文脈においてライトノベルがいかなる文学的意義を持っていたのかを鋭く論じた本格文芸評論。,,
アニメ人、オレの映画3本,,,,,REVISED,日本のアニメ界の第一線で活躍するトップクリエイターたちが、自身の人生観や創作活動に多大な影響を与えた「偏愛する映画3本」を厳選。作品への熱い想いや独自の解釈を語り尽くす。プロのアニメーターや監督ならではの鋭い視点とマニアックな語り口が光る、映画ファンもアニメファンも必読のインタビュー集。,,
シナリオのためのSF事典,,,,,REVISED,SF要素を取り入れた物語や世界観を構築したい創作者に向けた、実践的なキーワード事典。「テラフォーミング」や「タイムトラベル」といった定番のSF用語を網羅し、それらを実際のシナリオ作りや情景描写にどう落とし込めば説得力が増すのか、具体的なテクニックとともに分かりやすく解説する必携の創作ガイド。,,
チーム・オルタナティブの冒険,,,,,REVISED,穏やかな地方都市で、まるで「閉じた楽園」のような退屈で平和な日常を過ごしていた高校生の「僕」と仲間たち。しかし、ある女性教師の突然の死をきっかけに、彼らの日常は静かに崩れ始める。謎めいた事件の真相を追い求める少年たちの、ヒリヒリとした焦燥感とひと夏のほろ苦い冒険を描き出す青春ミステリー。,,
アニメの仕事は面白すぎる　絵コンテの鬼・奥田誠治と日本アニメ界のリアル,,,,,REVISED,『鉄腕アトム』の時代からアニメ界の第一線を走り続ける凄腕アニメーター・奥田誠治の熱き自伝。宮崎駿や高畑勲など、業界のレジェンドたちとの知られざる交遊録や衝突の逸話を披露する。当事者だからこそ語れる制作現場の過酷な現実と、それでも抗い難いアニメ作りの魅力を赤裸々に綴った貴重なドキュメント。,,
アニメ秘宝発進準備号オールタイム・ベスト・アニメーション,,,,,REVISED,アニメ業界を知り尽くしたクリエイターや識者50名が、それぞれの「俺ルール」と偏愛に基づいて選出した究極のベストアニメ10作品を発表。名作の裏側に迫るディープなインタビューやコラムも交え、時代を超えて愛されるアニメーションの真髄を多角的な視点から熱く検証する、活字プロレス的な熱量に満ちた一冊。,,
オタク経済圏創世記　GAFAの次は2.5次元コミュニティが世界の主役になる件,,,,,REVISED,アニメやゲームに代表される日本のオタクコンテンツが、いかにして世界市場で成功を収め、独自の経済圏を築き上げたのかを分析。リアルな体験とデジタル空間が高度に融合する「2.5次元コミュニティ」の構造を解き明かし、次世代ビジネスの主役となり得る熱狂的ファンダムのメカニズムと未来の可能性を説く。,,
アニメーターの仕事がわかる本,,,,,REVISED,『呪術廻戦』などで作画監督を務める西位輝実が、過酷とされがちなアニメ業界のリアルな実態を赤裸々に明かす入門書。新人アニメーターの働き方から、原画マンの収入事情、労働環境の課題といったシビアな現実を直視しつつ、技術向上と生き残りのための具体的な生存戦略を指南。プロを目指す人必読の実践的エッセイ。,,
プロジェクト・シン・エヴァンゲリオン　実績・省察・評価・総括,,,,,REVISED,完結編『シン・エヴァンゲリオン劇場版』はいかにして完成したのか。前代未聞の巨大な映画制作の裏側を、プロジェクトマネジメントの観点から徹底的に振り返る公式報告書。スケジュール管理の困難さや予算運用、リモートワーク下での制作進行など、膨大なデータを元に実績と反省点を総括し、次世代の映像制作へ向けた知見を提示する。,,
成瀬は天下を取りにいく,,,,,REVISED,滋賀県大津市を舞台に、我が道を突き進む女子中学生・成瀬あかりの唯一無二の青春を描く連作短編集。「この夏を西武に捧げる」と宣言し、閉店間際の西武大津店に通い詰めてローカルテレビの中継に映り込もうと奮闘する彼女の姿を、幼馴染の島崎をはじめとする周囲の視点からユーモラスかつ温かく描き出す爽快な物語。,,
成瀬は信じた道をいく,,,,,REVISED,滋賀を愛し、我が道を突き進む成瀬あかりの高校最後の1年を描く大反響青春小説の続編。地元のスーパーでのアルバイトや、大津の街を巻き込んだ観光大使としての活動、そして個性的なクラスメイトたちとの交流。大学受験を控えても決してブレることなく、己の信じた道を全力で走り続ける成瀬の圧倒的なエネルギーに心打たれる一冊。,,
王様ゲーム滅亡6．08,,,,,REVISED,日本中の高校生に突突として謎の「王様」から届いた「広島にいる者は岡山へ移動しろ」という不可解な命令。これまでの閉鎖的な学校内でのデスゲームから一転、スケールが全国規模へと拡大し、何百万もの命を巻き込んだ絶望のサバイバルが幕を開ける。パニックに陥る日本列島を舞台に、極限状態の人間の狂気と生存への執念を描く。,,
王様ゲーム（終極）,,,,,REVISED,前回の凄惨なデスゲームを生き延びた唯一の生存者・金沢伸明。彼は過去のトラウマを抱えながらも、転校先の呉広高校で平穏な日々を取り戻そうとしていた。しかし、再びクラス全員の携帯電話に「王様」からの無慈悲な命令メールが届く。より巧妙で残酷になったルールのもと、伸明は絶望の連鎖を断ち切るために再び命懸けのゲームに挑む。,,
王様ゲーム（臨場）,,,,,REVISED,一連の事件の真相を追う女子高生・児玉葉月は、とある廃校で一冊の古いノートを発見する。そこに記されていたのは、のちに伸明と出会うことになる少女・本多奈津子がかつて経験した、もう一つの恐るべき「王様ゲーム」の全貌だった。血塗られた過去の真実と、奈津子が冷酷な性格へと変貌していく悲劇の過程が克明に明かされる。,,
推し、燃ゆ,,,,,REVISED,アイドルグループ「まざま座」の上野真幸を「推す」ことだけを心の支えにして生きる高校生のあかり。学校や家族との関係に生きづらさを抱える彼女だったが、ある日、推しがファンを殴る事件を起こし大炎上してしまう。唯一の絶対的な背骨を失いかけた少女のアイデンティティの揺らぎと、現代における熱狂と虚無を圧倒的な熱量で描き出す。,,
アニメ研究入門【応用編】,,,,,REVISED,アニメーションを学術的な研究対象として多角的に分析・考察するための実践的な11のメソッドを提示する専門書。映像心理学や声優論を通じた身体性の分析、『魔法少女まどか☆マギカ』のマルチモーダル分析など、多様なアプローチを収録。表面的な鑑賞を超え、作品の深層構造や社会的背景を読み解くための高度な視座を提供する。,,
アニメ研究入門増補改訂版,,,,,REVISED,文学理論からジェンダー論、社会学まで、アニメを学問として分析するための9つの基本的な視点をわかりやすく解説した入門書。「海外アニメ」の動向や、「批評と研究の境界」に関する章を新たに追加し、内容を大幅にアップデート。初学者から本格的な研究者まで、アニメーションを深く論理的に考察するための基礎を網羅した決定版。,,
遅いインターネット,,,,,REVISED,SNS等での「速すぎる」情報消費や脊髄反射的な反応が、人々の深い思考力を奪い去る現代。評論家の宇野常寛が、吉本隆明の思想などを手掛かりに、「読む」ことと「書く」ことの往復を通じて自ら考える力を取り戻すための生存戦略を提唱する。情報の濁流に飲み込まれず、自分のペースで世界と向き合う「遅さ」の価値を問う一冊。,,
ご注文はうさぎですか？（1）,,,,,REVISED,石畳と木組みの家々が並ぶ美しい街に引っ越してきた高校生のココア。彼女が下宿先として身を寄せることになった喫茶店「ラビットハウス」を舞台に、クールでちっちゃな看板娘のチノ、軍人氣質の頼れるリゼなど、個性的で可愛い少女たちが織りなす賑やかな日常。コーヒーの香りと温かな笑顔に包まれた、癒やし度満点のドタバタコメディ。,,
ご注文はうさぎですか？（2）,,,,,REVISED,ラビットハウスでの住み込みの仕事にもすっかり慣れたココア。和風喫茶「甘兎庵」で働くおっとりした幼馴染の千夜や、気品あふれる貧乏お嬢様のシャロも仲間に加わり、賑やかさはさらにパワーアップ。みんなで行く海水浴や夏祭りなど、四季折々のイベントを通じて深まっていく少女たちの友情と、ほっこりする日常風景を丁寧に描き出す。,,
ご注文はうさぎですか？（3）,,,,,REVISED,賑やかなラビットハウスの日常は止まらない！文化祭での出し物準備やプールでの水遊びなど、ココアたちのキラキラした高校生活が満載。さらに、チノ、マヤ、メグの3人組による中学生ユニット「チマメ隊」の微笑ましい成長模様や、夜のバータイムに大人たちが織りなす意外な人間関係など、街の様々な表情が楽しめるエピソードが目白押し。,,
ご注文はうさぎですか？　4,,,,,REVISED,チノの父親であるタカヒロの昔の仲間たちや、スランプ気味の小説家・青山ブルーマウンテン先生との心温まる交流。さらに、些細なすれ違いからチノがプチ家出をしてしまう騒動など、おなじみのメンバーの関係性が少しずつ変化し、深まっていく様子を描く。いつものドタバタの中にも、キャラクターたちの成長と絆を感じさせる温かな物語。,,
ご注文はうさぎですか？（5）,,,,,REVISED,ココアの頼れる実の姉・モカが、ラビットハウスに突然やってきた！チノにとっての「一番のお姉ちゃん」の座を巡って、ココアとモカが可愛らしい攻防を繰り広げる。他にも、みんなで出かける秋の紅葉狩りや、ラビットハウスでの温かなクリスマスパーティーなど、秋から冬にかけての季節感あふれるイベントが目白押しのほっこりする日常。,,
ご注文はうさぎですか？（6）,,,,,REVISED,ココアたちの高校生活もいよいよ折り返し地点に。リゼの大学の推薦入試に向けたプレッシャーや、中学生のチノ、マヤ、メグの3人が真剣に話し合う将来の進路相談など、少し先の未来を見据えた選択が描かれる。環境の変化への不安を抱えつつも、ラビットハウスで過ごす変わらない温かな日々が彼女たちの背中を優しく押してくれる物語。,,
ご注文はうさぎですか？　7,,,,,REVISED,チマメ隊の中学卒業という大きな節目が近づく冬。高校受験に向けて、みんなで集まって行う賑やかな勉強会や、思い出作りのための卒業旅行の計画など、受験生ならではの慌ただしくも愛おしい日々。そしてついに迎える卒業式。少女たちがこれまでの思い出を胸に、少しだけ大人への階段を登る感動的な成長と絆の物語が丁寧に描かれる。,,
ご注文はうさぎですか？　8,,,,,REVISED,厳しい受験勉強を乗り越え、チノ、マヤ、メグの3人が揃って無事に高校へと合格！真新しい高校の制服に身を包んだチマメ隊のフレッシュな新生活がいよいよスタートする。合格のお祝いと高校進学の記念を兼ねて、みんなで計画した特別な「旅行」へと出発。新しい環境への期待と、いつもの仲間たちとの変わらない絆が眩しい新章の幕開け。,,
ご注文はうさぎですか？　9,,,,,REVISED,都会への旅先で出会った新たな友達フウラやエル。旅行を通じて見つけた新しい視点と、木組みの街へ戻ってきたココアたちの新たな春。,,
ご注文はうさぎですか？　10,,,,,REVISED,木組みの街にやってきたフウラたちとの交流。ココアやチノたちが先輩・後輩として互いを支え合い、さらに広がるカフェ生活の模様を描く。,,
ご注文はうさぎですか？　11,,,,,REVISED,ココアたちの「ラビットハウス」での日々を描く4コマ。進学した少女たちの成長や、チノが新たな夢を抱くエピソードなど、きらきらした思い出が紡がれる。,,
STEINS；GATEコミックアンソロジー,,,,,REVISED,『シュタインズ・ゲート』の世界を複数の作家が描く短編集。原作とは異なる、岡部倫太郎たちラボメンのコミカルな日常やIFの姿が楽しめるアンソロジーコミック。,,
STEINS；GATE コミックアンソロジー タイムトラベラーズテイル（2）,,,,,REVISED,「タイムトラベル」をテーマに『シュタインズ・ゲート』の世界を複数の作家が描く短編集。些細なDメールが引き起こすバタフライエフェクトなど、ラボメンの日常やIFストーリーが楽しめる。,,
STEINS；GATE コミックアンソロジー タイムトラベラーズテイル（3）,,,,,REVISED,「タイムトラベル」をテーマに『シュタインズ・ゲート』の世界を複数の作家が描く短編集。タイムリープのすれ違いや別の世界線での出来事など、ラボメンの日常やIFストーリーが楽しめる。,,
マジキュー4コマSTEINS；GATE世界線変動率χ．091015％（1）,,,,,REVISED,シリアスな原作とは異なる、デフォルメされた岡部たちラボメンの「あったかも知れない」日常を描く。未来ガジェット研究所でのハチャメチャなギャグが楽しめるアンソロジー4コマ。,,
マジキュー4コマSTEINS；GATE世界線変動率χ．091015％（2）,,,,,REVISED,岡部倫太郎や未来ガジェット研究所の面々が、本編とは異なる「x」の世界線でドタバタな日常を繰り広げる。まゆりのコスプレ衣装作りや紅莉栖のツンデレな反応など、和やかなラボの風景を描く。,,
STEINS;GATE コミックアンソロジー（仮）,,,,,REVISED,『STEINS;GATE』のコミックアンソロジー。岡部倫太郎や椎名まゆりたち未来ガジェット研究所のメンバーが織りなす、個性豊かなオリジナルストーリーを多数収録。,,
マジキュー4コマSTEINS；GATE（4）,,,,,REVISED,本編とは異なる「x」の世界線でドタバタな日常を繰り広げる。フェイリスのメイド喫茶でのドタバタ劇や、ミスターブラウンのブラウン管愛など、秋葉原の住人たちのコミカルな一面を描く。,,
マジキュー4コマSTEINS；GATE（5）,,,,,REVISED,本編とは異なる「x」の世界線でドタバタな日常を繰り広げる。季節の移ろいとともにラボメンたちでお出かけするエピソードや、綯の無邪気で少し怖い交流など、賑やかな日常を描く。,,
マジキュー4コマSTEINS；GATE（6）,,,,,REVISED,本編とは異なる「x」の世界線でドタバタな日常を繰り広げる。これまでラボを彩ってきたメンバー全員が勢揃いし、ドタバタながらも心温まるパーティーのような騒がしい日々を描く。,,
マジキュー4コマSTEINS；GATE（3）,,,,,REVISED,本編とは異なる「x」の世界線でドタバタな日常を繰り広げる。鈴羽のブラウン管工房でのアルバイト風景や、萌郁の極端なメール依存、ルカの神社での手伝いなど、個性的なキャラクターを掘り下げる。,,
NEW　GAME！（1）,,,,,REVISED,高校卒業後、憧れのゲーム会社イーグルジャンプに入社した涼風青葉。憧れの八神コウら先輩たちに囲まれ、新作『フェアリーズストーリー3』の開発が始まる。,,
NEW　GAME！（2）,,,,,REVISED,キャラデザイナーとしての初仕事に挑む青葉。メインキャラコンペに向け、師匠である八神コウとのデザイン対決に奮闘する姿を描く第2期開発編。,,
NEW　GAME！（3）,,,,,REVISED,『フェアリーズストーリー3』のマスターアップに向けてラストスパート。納品直前のデバッグ作業や、チーム全員で迎える発売日の感動を描く。,,
NEW　GAME！（4）,,,,,REVISED,イーグルジャンプに新たな新入社員・望月紅葉と鳴海ツバメが入社！先輩となった青葉は、個性豊かな後輩たちの指導や人間関係に奮闘していく。,,
NEW　GAME！（5）,,,,,REVISED,新作ゲーム『PECO』のメインキャラクターコンペが開催決定。青葉は憧れの先輩・八神コウと同じ土俵で競い合うため、全力を尽くしてデザインに挑む。,,
NEW　GAME！（6),,,,,REVISED,『PECO』の開発もいよいよ佳境。プログラマーのツバメやねねたちの成長を描きつつ、チーム一丸となってゲームのブラッシュアップに励む日常を描く。,,
NEW　GAME！（7）,,,,,REVISED,『PECO』の開発もいよいよ佳境。プログラマーとしての壁にぶつかるツバメや、デバッグチームで経験を積むねねたちの成長を丁寧に描きつつ、チームが一丸となってゲームのブラッシュアップに励むイーグルジャンプの熱い日常を収録。,,
NEW　GAME！（8）,,,,,REVISED,『PECO』の無事発売を経て、イーグルジャンプは新たな一歩を踏み出す。ゲーム開発の達成感と次なる目標に向けて、少しだけ成長した青葉たちがそれぞれの立場でさらに努力を重ねていく、お仕事ガールズコメディの魅力が詰まった一冊。,,
NEW　GAME！（9）,,,,,REVISED,青葉の入社3年目がスタート。ついに大人気シリーズの最新作『フェアリーズストーリー4』の企画が立ち上がり、青葉は憧れのキャラクターデザインを賭けて、ディレクター・コンペというかつてない大きな壁とプレッシャーに挑む。,,
NEW　GAME！（10）,,,,,REVISED,新作『フェアリーズストーリー4』のメインキャラクターを決定するコンペティション。先輩としての意地を見せる青葉と、圧倒的な才能で迫る紅葉が激しく切磋琢磨し、ゲームクリエイターとして互いに高め合う少女たちの真剣な姿を描く。,,
NEW　GAME！（11),,,,,REVISED,『FS4』の開発が本格化し、青葉と紅葉の二人体制による共同デザイン作業がスタート。フランスに渡った八神コウの活躍からも大いに刺激を受けつつ、チーム全体がこれまでにない表現の限界とクオリティの向上に挑んでいく。,,
NEW　GAME！（12）,,,,,REVISED,『FS4』の開発もいよいよ終盤戦へ突入する中、フランスから八神コウが一時帰国を果たす。たくましく成長した青葉の姿に感銘を受けつつ、イーグルジャンプの仲間たちが再び一つになって最高のゲーム完成を目指す胸熱な展開。,,
NEW　GAME！（13）,,,,,REVISED,チーム全員で全力で作り上げてきた『フェアリーズストーリー4』の開発がついにクライマックスを迎える。青葉をはじめとする仲間たちがゲーム制作に捧げた情熱、挫折、そして成長の軌跡を感動的に描き出すシリーズ最終巻。,,
STEINS;GATE : 円環連鎖のウロボロス. 1,,,,,REVISED,幾重にも張り巡らされた運命の糸とタイムリープの代償。椎名まゆりの死と牧瀬紅莉栖の犠牲、ふたつの残酷な選択肢の狭間で深い苦悩を抱える岡部倫太郎が辿り着く、ウロボロスの名を冠したもうひとつの予測不能な世界線を描く。,,
STEINS;GATE : 円環連鎖のウロボロス. 2,,,,,REVISED,繰り返される絶望の中、岡部倫太郎はついに円環の打破に向けて動き出す。まゆりと紅莉栖、どちらも失わない奇跡の未来「シュタインズ・ゲート」を目指し、仲間たちの想いを背負いながら未知のダイバージェンスへと挑む後編。,,
STEINS;GATE 5 (六分儀のイディオム 後編),,,,,REVISED,様々な視点から紡がれてきた裏側のエピソードが交錯し、ついに本編の核心へと迫る。未来ガジェット研究所のラボメンたちが抱える秘めた想いや葛藤が浮き彫りになり、岡部の孤独な戦いを別の角度から深く掘り下げる完結編。,,
STEINS;GATE : 蝶翼のダイバージェンス:Reverse,,,,,REVISED,自称狂気のマッドサイエンティスト・岡部倫太郎と偶然出会った若き天才少女・牧瀬紅莉栖。彼女の理知的な視点から詳細に語られる、タイムマシンの開発過程と、それに伴う過酷な世界線変動に翻弄されるラボメンたちのドラマ。,,
STEINS;GATE. 2 (形而上のネクローシス:Reverse),,,,,REVISED,過去へメールを送れる「Dメール」の無邪気な実験を続ける岡部倫太郎と牧瀬紅莉栖たち。しかし、その軽率な過去改変の積み重ねが、やがて椎名まゆりの命を理不尽に奪い続けるという、逃れられない絶望の未来を引き寄せてしまう。,,
STEINS; GATE 3 (境界面上のシュタインズ・ゲート: Rebirth),,,,,REVISED,何度タイムリープを繰り返しても決して変えることのできない、まゆりの死という運命の収束。岡部倫太郎は愛する者を救い出すため、紅莉栖の献身的な支えを受けながら、最も絶望的な世界線の分岐点に立ち向かう壮絶な決意を固める。,,
STEINS;GATE 4 (六分儀のイディオム 前編),,,,,REVISED,未来ガジェット研究所に集う個性豊かな仲間たち、それぞれの知られざる視点から語られる珠玉のサイドエピソード群。緊迫するメインストーリーの裏側で密かに繰り広げられていた、ラボメンたちの日常と人間ドラマを鮮やかに描く。,,
STEINS;GATE 5 (六分儀のイディオム 後編),,,,,REVISED,様々な視点から紡がれてきた裏側のエピソードが交錯し、ついに本編の核心へと迫る。未来ガジェット研究所のラボメンたちが抱える秘めた想いや葛藤が浮き彫りになり、岡部の孤独な戦いを別の角度から深く掘り下げる完結編。,,
STEINS;GATE : 線形拘束のモザイシズム,,,,,REVISED,電話レンジ（仮）の存在を隠し通そうとする岡部倫太郎のもとに届いた、未来の自分である「鳳凰院凶真」からの謎の指令メール。その指示に従って行動する岡部だが、事態は思わぬ方向へ転がり、やがてまゆりの命を脅かす危機に陥る。,,
Steins;Gate永劫回帰のパンドラ. 1,,,,,REVISED,牧瀬紅莉栖を救出できず、深い失意の底に沈んだままβ世界線を生きる岡部倫太郎。一方、橋田至は阿万音鈴羽の悲願のために暗躍を開始し、紅莉栖が遺した中鉢論文の知識を巡って、新たな世界的陰謀が静かに動き始めようとする。,,
Steins;Gate閉時曲線のエピグラフ,,,,,REVISED,牧瀬紅莉栖を救うことを諦め、彼女が最初から存在しないβ世界線で日常を過ごす岡部倫太郎。ある日、彼は紅莉栖の記憶と人格を完全にトレースした人工知能「アマデウス」とその研究員・比屋定真帆と出会い、再び運命が交錯する。,,
Steins;Gate閉時曲線のエピグラフ 2,,,,,REVISED,亡き牧瀬紅莉栖の記憶を持つAI「アマデウス」と交流を重ねるうち、彼女の面影に心を激しく乱される岡部倫太郎。一方、タイムマシンに乗って未来からやって来た阿万音鈴羽は、世界が破滅する悲惨な未来を変えるべく孤独な足掻きを続ける。,,
STEINS;GATE : 哀心迷図のバベル,,,,,REVISED,まゆりの命を救うため、自らが消滅する未来を選択した牧瀬紅莉栖。過酷な運命を受け入れた彼女が、残されたわずかな時間の中で向き合うのは、長年確執を抱えてきた父・中鉢博士との過去、そして岡部倫太郎への断ち切れない想いだった。天才少女の知られざる内面と葛藤を、彼女自身の視点から深く掘り下げる外伝ストーリー。,,
Steins;gate : 史上最強のスライトフィーバー. 1,,,,,REVISED,「シュタインズ・ゲート」本編の裏側を、若き天才脳科学者・牧瀬紅莉栖の視点から描く物語。タイムマシンの謎を追う彼女の研究者としての果てなき探究心と、岡部倫太郎たち未来ガジェット研究所の面々と過ごす騒がしくも温かい日常が交差する。まだ見ぬ運命の歯車が回り始める前夜の、彼女の揺れ動く心情を鮮明に描き出す。,,
Steins;gate : 史上最強のスライトフィーバー. 2,,,,,REVISED,Dメールによる過去改変の実験がエスカレートしていく中、岡部倫太郎たちと共に未知の領域へと足を踏み入れる牧瀬紅莉栖。父・中鉢博士との深い確執に苦しむ彼女は、自らの辛い過去へ向けてDメールを送信すべきかどうか、研究者としての知的好奇心と一人の少女としての感情の間で激しく葛藤する。紅莉栖の決断がもたらすものとは。,,
Steins ; gate : 亡環のリベリオン 1,,,,,REVISED,絶望的なディストピアと化した2036年の未来世界。世界を支配するSERNに抗うため、レジスタンス組織「ワルキューレ」に身を投じた阿万音鈴羽は、絶望の歴史を変えるべくタイムマシンで過去へ跳ぶ決意を固める。未来の過酷な戦場を生き抜く彼女の孤独な闘いと、使命に懸ける強い意志を描くスピンオフコミック第1弾。,,
Steins ; gate : 亡環のリベリオン 2,,,,,REVISED,歴史を変える鍵となる幻のレトロPC「IBN5100」を手に入れるため、1975年の過去へ跳んだ阿万音鈴羽。しかし彼女は2010年の秋葉原に降り立ち、岡部倫太郎や未来ガジェット研究所の面々と温かい交流を深めていく。平穏な日常に触れるほどに、己に課せられた過酷な使命とのギャップに苦悩する鈴羽の心情を描き出す。,,
Steins;gate : 亡環のリベリオン 3,,,,,REVISED,IBN5100の探索を続ける阿万音鈴羽は、未来の凄惨な絶望を知るがゆえに、時間が迫る中で焦りを募らせていく。岡部倫太郎や仲間たちとの絆を胸に刻み、彼女は世界線の収束という巨大な壁に立ち向かい、歴史を変えるための最後の賭けに出る。絶望の未来に抗い続けた鈴羽の、時を超えた孤独な戦いが迎える一つの結末。,,
シュタインズ・ゲート 1,,,,,REVISED,狂気のマッドサイエンティスト「鳳凰院凶真」を自称する大学生・岡部倫太郎。彼が秋葉原の小さな発明サークルで偶然にも作り出したのは、過去へメールを送れる「電話レンジ（仮）」だった。天才少女・牧瀬紅莉栖らと共にタイムマシンの謎に挑むが、その好奇心がやがて世界の法則を揺るがし、取り返しのつかない事態を招き寄せる。,,
シュタインズ・ゲート. 2,,,,,REVISED,Dメールを使って過去の改変を繰り返していく岡部倫太郎たち。しかし、無邪気な好奇心の代償として歴史は大きく歪み、幼馴染である椎名まゆりの命が容赦なく奪われるという回避不能の惨劇が幕を開ける。幾度タイムリープを繰り返しても同じ結末に収束してしまう絶望の螺旋の中で、岡部は大切な人を救うための孤独な戦いへ身を投じる。,,
シュタインズ・ゲート. 3,,,,,REVISED,まゆりを救うため、絶望的なタイムリープを幾度も繰り返し、世界の構造と運命の真実に迫っていく岡部倫太郎。仲間を守るために重ねてきた過去改変を取り消すという行為は、別の残酷な結末を意味していた。過酷な世界線の分岐点に立たされた彼は、すべてを背負い込み、誰もが笑える未来を掴むために究極の決断を迫られる。,,
