Title,Author,Publisher,Year,Type,Status,Summary,ISBN13,DateAdded
知識検定事典,,,,,REVISED,幅広いジャンルの教養を問うオンラインテスト「知識検定」から、厳選された良問1000問を一挙に収録。政治、経済、歴史から最新のポップカルチャーに至るまで、大人が知っておくべき森羅万象をクイズ形式で楽しみながら学べる。単なる問題集にとどまらず、事典レベルの充実した詳細な解説が付随しており、自身の知識の穴を埋めながら教養を深めることができる決定版。,,
SAVE THE CATの法則 : 本当に売れる脚本術,,,,,REVISED,ハリウッドの映画会社が「絶対に売れる」と太鼓判を押すシナリオには、一体どのような秘密が隠されているのか。物語の展開を15の緻密なステップに分解する「ブレイク・スナイダー・ビート・シート」を提唱し、読者の心を掴むための超実践的なテクニックを公開。映画のみならず、小説や漫画などあらゆるストーリーテリングに応用できる、すべての創作者に向けた必携のバイブル。,,
謎検対策問題集2024春,,,,,REVISED,日本で唯一となる「謎解き能力検定（謎検）」の公式対策問題集。2023年秋に実施された実際の過去問50問に加え、本書のためだけに書き下ろされたオリジナル模擬問題など計80問を収録。すべての問題に丁寧な解説と解法の糸口が記されており、本番に向けた対策はもちろん、日常的に謎解きを楽しみたい愛好家たちの実力試しや頭の体操としても十二分に楽しめる充実の一冊。,,
真・バトル奥義（9）,,,,,REVISED,ニンテンドー3DS用ソフト『ポケットモンスター オメガルビー・アルファサファイア』におけるシングルバトルを極めるための攻略本。全国トップクラスの実力を持つプレイヤーたちによる高度な戦術解説や、現環境で猛威を振るう有力パーティの育成論を網羅。対戦の基礎から相手の選出を読む高度な心理戦まで、ガチ対戦で勝率を上げるためのノウハウが凝縮された指南書。,,
私を球場に連れてって！　1,,,,,REVISED,野球のルールはおろか、スポーツ観戦にも全く興味がなかった女子高生のタマ。しかし高校の入学初日、熱狂的な西武ファンである同級生のレオナが起こした喧嘩に巻き込まれ、そのまま無理やり球場へと連行されてしまう。個性豊かなファンたちとの出会いやドタバタ劇を通じて、未知の世界だった野球観戦の面白さに少しずつ触れていく姿を描いた、ドタバタ日常コメディ。,,
私を球場に連れてって！　2,,,,,REVISED,ひょんなことから球場へ連行され、野球観戦デビューを果たした女子高生のタマ。ルールも分からなかった彼女だが、強烈な個性を持つ新たなファン仲間たちとの交流や、球場ならではの絶品「球場飯」の魅力を通して、次第にスタジアムの熱気とプロ野球の奥深さに魅了されていく。応援席の悲喜こもごもをユーモアたっぷりに描き出した、野球観戦コメディのさらなる熱戦。,,
私を球場に連れてって！　3,,,,,REVISED,すっかり野球観戦の魅力に取り憑かれ、立派な球場通い女子へと成長したタマ。名物の「球場飯」を堪能しながら、夢のオールスターゲーム観戦や遠征応援など、ファンとしての楽しみ方をどんどん広げていく。一方で、どんなに愛していても勝てない弱小球団を応援し続けるファンの切ない悲哀や、それでも見捨てられない熱狂ぶりがリアルに描かれる、共感必至のコメディ。,,
私を球場に連れてって！　4,,,,,REVISED,野球知識ゼロから始まり、今やすっかり球場の熱気に魅了されたタマと、周囲を取り巻く熱狂的なファンの仲間たち。贔屓の弱小球団がどんなに不甲斐ない試合を見せようとも、彼らの変わらぬ野球愛と熱い友情は揺るがない。笑いあり涙ありの応援席の風景と、プロ野球ファン特有の悲哀や喜びがぎっしり詰まった大人気野球観戦コメディの、堂々たるフィナーレを飾る一冊。,,
ぱいどん　AIで挑む手塚治虫の世界,,,,,REVISED,もしも漫画の神様・手塚治虫が現代に生きており、最新のテクノロジーを駆使して新作を描き下ろしたら。膨大な過去作品のデータをAIに学習させ、人間のクリエイターと人工知能がタッグを組んで生み出された衝撃の漫画作品。記憶を失い、ホームレスとして生きる謎の主人公・ぱいどんの活躍を描くとともに、前代未聞の制作プロジェクトの裏側に迫るドキュメントも収録。,,
アニメ95．2,,,,,REVISED,漫画家・春原ロビンソンが、かつてアニメ制作会社の「制作進行」として働いていた時代の実体験を赤裸々に綴ったエッセイ漫画。深夜労働や理不尽なトラブルが日常茶飯事という過酷な現場のリアルを、作者ならではのコミカルでユーモアたっぷりのタッチで描き出す。アニメ業界の裏側や、クリエイターたちの知られざる苦労、そして作品が完成するまでの泥臭い道のりが詳細に描かれており、アニメ制作の舞台裏に興味がある読者にとっては非常に貴重で興味深い一冊となっている。,,
ヘルタースケルター,,,,,REVISED,誰もが羨む圧倒的な美貌とスタイルで芸能界の頂点に君臨するトップスター・りりこ。しかし、その美しさは全身に危険な整形手術を施して作り上げられた「つくりもの」だった。過度な手術の副作用が徐々に彼女の心と体を蝕み、周囲の人間を巻き込みながら後戻りできない破滅への道を突き進んでいく。人間の持つ尽きることのない欲望や美への異常な執着、そして華やかな芸能界の底知れぬ闇を鋭く描き出した、岡崎京子が放つ衝撃のサイコロジカルホラーにして代表的傑作。,,
リバーズ・エッジオリジナル復刻版,,,,,REVISED,1990年代の無機質な郊外の街を舞台に、どこか空虚な日々を送る女子高生のハルナと、いじめられっ子の同級生・山田。彼らは河川敷の茂みに放置された身元不明の死体を秘密の共有物として結びつき、特異な関係を築いていく。行き場のない閉塞感、鬱屈とした感情、そして日常に潜む暴力や死の気配。平坦な日常の中で次第に壊れていく若者たちの脆く残酷な青春の痛みを、冷徹かつ詩的な視点で生々しく描き出した、時代を超えて語り継がれる岡崎京子の最高傑作のひとつ。,,
pink新装版,,,,,REVISED,一見すると普通のOLとして働く主人公のユミは、自宅のマンションで密かにペットのワニを飼育している。その高額な餌代を稼ぎ、自由で満ち足りた生活を維持するために、彼女は夜の街で別の仕事に身を投じていた。高度経済成長を経た1980年代の日本社会を背景に、「愛と資本主義」という普遍的なテーマを軽やかかつシニカルな視点で描き出す。物質的な豊かさの中で心の空虚さを抱える人々の姿を、ポップな絵柄と鮮烈な心理描写で鮮明に切り取った岡崎京子の傑作。,,
プラネテス（1）,,,,,REVISED,西暦2075年、人類が宇宙空間を生活圏とするようになった近未来。宇宙開発の進展とともに深刻な社会問題となっているのが、軌道上を漂う宇宙ゴミ「スペースデブリ」だった。デブリ回収船「DS-12（通称トイボックス）」に乗る青年ハチマキは、いつか自分だけの宇宙船を購入するという大きな夢を抱きながら、同僚のユーリやフィーたちと共に危険と隣り合わせのゴミ拾い任務に日々奮闘している。広大な宇宙を舞台に、人間の夢や孤独、エゴイズム、そして愛といった普遍的かつ深遠なテーマを、圧倒的なリアリティと人間ドラマで描き出したハードSFの名作。,,
プラネテス（2）,,,,,REVISED,西暦2075年、人類が宇宙空間を生活圏とするようになった近未来。宇宙開発の進展とともに深刻な社会問題となっているのが、軌道上を漂う宇宙ゴミ「スペースデブリ」だった。デブリ回収船「DS-12（通称トイボックス）」に乗る青年ハチマキは、いつか自分だけの宇宙船を購入するという大きな夢を抱きながら、同僚のユーリやフィーたちと共に危険と隣り合わせのゴミ拾い任務に日々奮闘している。広大な宇宙を舞台に、人間の夢や孤独、エゴイズム、そして愛といった普遍的かつ深遠なテーマを、圧倒的なリアリティと人間ドラマで描き出したハードSFの名作。,,
プラネテス（3）,,,,,REVISED,西暦2075年、人類が宇宙空間を生活圏とするようになった近未来。宇宙開発の進展とともに深刻な社会問題となっているのが、軌道上を漂う宇宙ゴミ「スペースデブリ」だった。デブリ回収船「DS-12（通称トイボックス）」に乗る青年ハチマキは、いつか自分だけの宇宙船を購入するという大きな夢を抱きながら、同僚のユーリやフィーたちと共に危険と隣り合わせのゴミ拾い任務に日々奮闘している。広大な宇宙を舞台に、人間の夢や孤独、エゴイズム、そして愛といった普遍的かつ深遠なテーマを、圧倒的なリアリティと人間ドラマで描き出したハードSFの名作。,,
プラネテス（4）,,,,,REVISED,西暦2075年、人類が宇宙空間を生活圏とするようになった近未来。宇宙開発の進展とともに深刻な社会問題となっているのが、軌道上を漂う宇宙ゴミ「スペースデブリ」だった。デブリ回収船「DS-12（通称トイボックス）」に乗る青年ハチマキは、いつか自分だけの宇宙船を購入するという大きな夢を抱きながら、同僚のユーリやフィーたちと共に危険と隣り合わせのゴミ拾い任務に日々奮闘している。広大な宇宙を舞台に、人間の夢や孤独、エゴイズム、そして愛といった普遍的かつ深遠なテーマを、圧倒的なリアリティと人間ドラマで描き出したハードSFの名作。,,
無職、川、ブックオフ,,,,,REVISED,大学卒業後も就職せず、30歳になるまで無職として過ごしていたWebライターのマンスーンが、自身のモラトリアムな日々を振り返る自伝的エッセイ。目的もなく深夜の街を徘徊する散歩、足繁く通い詰めたブックオフでの立ち読み、そして将来への漠然とした不安と焦燥感。社会のレールから外れた生活の中で感じる怠惰で愉快な時間と、時折胸を刺す切実な感情が、独特のユーモアを交えて綴られる。何も成し遂げていない日々の尊さと滑稽さが詰まった、読者の心に静かに寄り添う一冊。,,
バーナード嬢曰く。,,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
バーナード嬢曰く。（2）,,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
バーナード嬢曰く。（3）,,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
バーナード嬢曰く。(5),,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
バーナード嬢曰く。 (6),,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
バーナード嬢曰く。（4）,,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
バーナード嬢曰く。 (7),,,,,REVISED,「本は読まないけれど、読書家としてかっこよく見られたい」という不純な動機を持つ女子高生・町田さわ子（通称バーナード嬢）。そんな彼女を中心に、SF小説をこよなく愛するガチの読書家・神林しおりや、図書委員の仲間たちが学校の図書室に集い、古今東西の名著について熱く、そして時に脱力感たっぷりに語り合う文学ギャグコメディ。「読書あるある」や名作文学に対する独特の解釈、そして本を愛する者ならではの偏愛ぶりがコミカルに描かれ、本好きなら思わず頷いてしまう魅力に溢れた作品。,,
波よ聞いてくれ（1）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（2）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（3）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（4）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（5）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（6）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（7）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（8）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（9）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（11）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
波よ聞いてくれ（12）,,,,,REVISED,北海道の札幌市にあるスープカレー店で働く、感情の起伏が激しく破天荒な女性・鼓田ミナレ。彼女がバーで失恋の愚痴をこぼしていたところ、その声と喋りの才能に目をつけた地元ラジオ局の敏腕ディレクター・麻藤によって、なんと深夜ラジオ番組のパーソナリティに大抜擢されてしまう。予測不能なトーク力と持ち前のバイタリティで、次々と巻き起こるトラブルや奇妙な事件を強引に乗り越えていくミナレの姿を描く。圧倒的な台詞量と疾走感あふれる展開で読者を魅了する、異色のラジオ業界コメディ。,,
STEINS；GATE（1）,,,,,REVISED,秋葉原を拠点とする弱小発明サークル「未来ガジェット研究所」を主宰する大学生の岡部倫太郎。中二病をこじらせた彼は、ある日偶然にも過去へ電子メールを送ることができるタイムマシン「電話レンジ（仮）」を生み出してしまう。天才少女・牧瀬紅莉栖ら仲間たちとともに過去を改変する実験を繰り返すうちに、彼らは世界規模の陰謀や避けられない過酷な運命へと巻き込まれていく。張り巡らされた伏線と緻密な時間SFのギミック、そして仲間との絆を描くサスペンスが融合した傑作アドベンチャー。,,
リスアニ！（vol.49.2）,,,,,REVISED,数々の名作ゲームを生み出してきたブランド「Key」の魅力を、音楽という切り口からまるごと一冊にわたって徹底解剖した音楽大全。『プリマドール』の巻頭大特集をはじめ、大きな話題を呼んだ『ヘブンバーンズレッド』のクリエイター陣への緻密なインタビューを収録。Key作品が持つ感動的な物語と、それを彩りプレイヤーの心を揺さぶる名曲たちがどのようにして生み出されたのか。その制作秘話や音楽的背景に深く切り込み、ファン必携の濃厚な情報量でお届けする充実の一冊。,,
リスアニ！（vol.25）,,,,,REVISED,アニメ音楽の最前線に迫る音楽誌の第25弾。巻頭では、気鋭のアニメーションスタジオTRIGGERと実力派脚本家・岡田麿里が強力なタッグを組んだ話題作『キズナイーバー』を大特集。楽曲の制作秘話やクリエイターたちのインタビューを通じて、作品の根底に流れるテーマや音楽的な魅力を多角的な視点から深く掘り下げる。さらに『甲鉄城のカバネリ』など、同時期に注目を集めた人気アニメの音楽情報も網羅しており、アニメーションと音楽の蜜月な関係を余すところなく伝える。,,
リスアニ！（vol.22）,,,,,REVISED,社会現象を巻き起こした大ヒット劇場版アニメ『ラブライブ！The School Idol Movie』を表紙および巻頭で大特集。μ'sのメンバーたちへの貴重なロングインタビューをはじめ、劇中で披露された珠玉の楽曲群に対する全曲詳細レビューを掲載。映画がもたらした感動の熱量とともに、作品を彩る音楽がいかにしてファンを魅了し、物語を昇華させたのかを徹底的に解剖する。音楽の持つ力とアニメ作品の相乗効果に焦点を当てた、ラブライバーのみならず音楽ファン必見の特集号。,,
ライトノベルのストラテジー,,,,,REVISED,『涼宮ハルヒの憂鬱』をはじめとする「ゼロ年代」を彩ったライトノベルの代表的なヒット作の数々を題材に、それらの作品がどのような「戦略」を用いて読者を惹きつけ、物語を構築していったのかを鋭く分析した文芸評論。キャラクター造形や世界観の設定、そして物語の構造などを緻密に読み解くことで、単なるサブカルチャーにとどまらないライトノベルというジャンルの文学的意義と社会的な影響力を浮き彫りにする。現代日本のポップカルチャーを語る上で欠かせない批評的視点を提供する一冊。,,
アニメ人、オレの映画3本,,,,,REVISED,日本のアニメーション業界の第一線で活躍し続けるトップクリエイターたちが、自身の人生観や創作活動、そして仕事に対する姿勢に多大な影響を与えた「偏愛する実写映画3本」をそれぞれ厳選して熱く語り尽くすインタビュー集。彼らがなぜその映画に惹かれ、そこからどのようなインスピレーションを得て自身の作品に昇華させているのか。プロフェッショナルならではの鋭い視点と個人的な想いが交差するエピソードの数々は、アニメファンのみならず映画好きにとっても非常に興味深く読み応えがある。,,
シナリオのためのSF事典,,,,,REVISED,SF（サイエンス・フィクション）の要素を取り入れた物語やシナリオを創作する際に、クリエイターにとって強力な武器となる専門的なキーワードを事典形式でわかりやすく解説した指南書。「テラフォーミング」や「タイムトラベル」「サイボーグ」といった定番のSF用語について、単なる科学的な意味の解説にとどまらず、それらを実際のストーリー展開やキャラクターの描写、世界観の構築にどのように落とし込めば効果的かという、実践的かつ具体的な視点で紹介する。創作のアイデアを刺激する必携のツール。,,
チーム・オルタナティブの冒険,,,,,REVISED,どこにでもあるような地方都市を舞台に、「閉じた楽園」のような退屈で平和な日常を謳歌していた男子高校生の「僕」と、個性豊かな仲間たち。しかし、彼らの日常は、ある若い女性教師の突然の死をきっかけに静かに狂い始める。彼女の死の背後に潜む謎や、街に隠された不穏な秘密に直面した彼らは、真実を求めてひと夏の無謀な冒険へと足を踏み出していく。思春期特有の焦燥感や仲間との絆、そして大人への階段を登る少年たちの心の揺れ動きを瑞々しくスリリングに描き出した青春ミステリー。,,
アニメの仕事は面白すぎる　絵コンテの鬼・奥田誠治と日本アニメ界のリアル,,,,,REVISED,日本のアニメーション草創期である『鉄腕アトム』の時代から業界に身を置き、第一線で辣腕を振るい続けてきたベテランアニメーター・奥田誠治による熱き自伝。宮崎駿や高畑勲といったアニメ界のレジェンドたちとの知られざる交流や激しい衝突の逸話など、当事者だからこそ語ることができる業界の泥臭くも魅力的な舞台裏を赤裸々に綴る。過酷な労働環境の中でも「アニメを作る」という情熱に突き動かされてきた作り手たちの生々しい息遣いと、日本アニメ史の貴重な証言が詰まった一冊。,,
アニメ秘宝発進準備号オールタイム・ベスト・アニメーション,,,,,REVISED,アニメ業界の第一線で活躍するクリエイターや評論家、ライターなど総勢50名の識者たちが、世間の評価に縛られない独自の「俺ルール」に基づき、それぞれのベストアニメ10作品を熱く選出した画期的なムック本。王道の名作からマニアックな隠れた傑作まで多様な作品がリストアップされており、識者への濃厚なインタビューやコラムも多数収録。なぜその作品が選ばれたのかという背景を通じて、アニメーションという表現の持つ多様な魅力と可能性を多角的な視点から検証する、アニメファン必読の特集号。,,
オタク経済圏創世記　GAFAの次は2.5次元コミュニティが世界の主役になる件,,,,,REVISED,アニメやゲーム、漫画といった日本の誇る「オタクコンテンツ」が、いかにして国境を越え、世界市場で莫大な利益を生み出す巨大産業へと成長を遂げたのかを論理的に分析した気鋭のビジネス書。物理的な現実世界（リアル）とデジタルの仮想世界が高度に融合することで生まれる「2.5次元コミュニティ」のメカニズムを解き明かし、それが今後のグローバル経済においてどのような可能性を秘め、次世代のビジネスモデルの中心になり得るのかを熱く説く。新たな市場の未来図を描き出す必読の書。,,
アニメーターの仕事がわかる本,,,,,REVISED,作画監督・西位輝実が、アニメ業界のリアルな現状や働き方を解説する入門書。労働環境やお金といったシビアな現実を直視しつつ、プロとしての生存戦略を指南する。,,
プロジェクト・シン・エヴァンゲリオン　実績・省察・評価・総括,,,,,REVISED,『シン・エヴァンゲリオン劇場版』の制作過程をプロジェクトマネジメントの観点から振り返る公式報告書。前代未聞の巨大プロジェクトの全貌と裏側を詳細に記録し、クリエイターの苦悩と挑戦を解き明かす。,,
成瀬は天下を取りにいく,,,,,REVISED,我が道を突き進む中学生・成瀬あかり。「この夏を西武に捧げる」と宣言し、毎日ローカルテレビに映り込もうと奮闘する。滋賀県大津市を舞台に描かれる、型破りで爽快な青春群像劇。,,
成瀬は信じた道をいく,,,,,REVISED,高校3年生になった成瀬あかりが、大学受験や街の騒動の中でも相変わらず我が道を突き進む姿を、周囲の人々の視点から温かく描く。予測不能な行動が周囲を巻き込む痛快な青春群像劇。,,
王様ゲーム滅亡6．08,,,,,REVISED,ある日、日本中の高校生全員に謎の「王様」から「広島にいる者は岡山へ移動しろ」という命令が届く。スケールが全国へと拡大し、逃れられない死の連鎖が日本を滅亡へ導く絶望のサバイバル。,,
王様ゲーム（終極）,,,,,REVISED,かつての凄惨なゲームの唯一の生存者・金沢伸明は、転校先の呉広高校で平穏な生活を送ろうとしていた。だが再び「王様」からの命令メールが届き、新たな命懸けのゲームが容赦なく襲いかかる。,,
王様ゲーム（臨場）,,,,,REVISED,事件を追う児玉葉月が廃校で見つけたノート。そこには、のちに伸明と出会う本多奈津子が過去に経験した、もう一つの凄惨な「王様ゲーム」の全貌と、極限状態での人間ドラマが克明に記されていた。,,
推し、燃ゆ,,,,,REVISED,アイドル「まざま座」の上野真幸を推すことだけを生きがいとする高校生・あかり。しかしある日、推しがファンを殴って大炎上し、彼女の日常に狂いが生じていく。推し活の光と影を浮き彫りにする現代文学。,,
アニメ研究入門【応用編】,,,,,REVISED,映像心理論や声優論、『まどマギ』のマルチモーダル分析など、アニメを学術的な研究対象として多角的に分析・考察するための11の実践的なメソッドを提示。より深い作品理解へ導く本格的な研究書。,,
アニメ研究入門増補改訂版,,,,,REVISED,文学理論からジェンダー論まで、アニメを学術的に分析するための9つの視点を解説。「海外アニメ」や「批評と研究」の章を新たに追加し、多様な視点からアニメーションの本質に迫る入門ガイド。,,
遅いインターネット,,,,,REVISED,SNS等の「速すぎる」情報消費が思考力を奪う現代。吉本隆明の思想などを交え、「読む」と「書く」の往復を通じて自ら考える力を取り戻すための生存戦略を提唱する、情報社会を生き抜くための指南書。,,
ご注文はうさぎですか？（1）,,,,,REVISED,木組みの街にやってきた高校生ココア。下宿先を探して入った喫茶「ラビットハウス」で、看板娘のチノやクールなリゼと出会い、コーヒーの香りと温かな笑顔に包まれた賑やかで癒やされる日常が始まる。,,
ご注文はうさぎですか？（2）,,,,,REVISED,ラビットハウスでの仕事にも慣れてきたココア。和風喫茶「甘兎庵」の千夜やシャロも加わり、海水浴や夏祭りなど四季折々のイベントを通じて深まる少女たちの絆と、ほのぼのとした日常を描く。,,
ご注文はうさぎですか？（3）,,,,,REVISED,文化祭やプール遊びといった高校生ライフを満喫するココアたち。さらに、チノたちの妹ユニット「チマメ隊」の微笑ましい成長や、ラビットハウスの夜のBARタイムでの大人たちの交流など、世界観が広がる物語。,,
ご注文はうさぎですか？　4,,,,,REVISED,チノの父親タカヒロの昔の仲間や青山ブルーマウンテン先生との交流。すれ違いから始まるプチ家出騒動など、少しずつ変化する人間関係の機微を丁寧に描き、キャラクターたちの新たな一面が垣間見える。,,
